# mean,var,range,fatigue
971.90000,30.29000,15.00000,0.06818
978.10000,72.69000,24.00000,0.14394
988.50000,21.85000,14.00000,0.21970
992.50000,11.05000,12.00000,0.29545
984.10000,152.49000,40.00000,0.37121
968.10000,119.69000,36.00000,0.44697
962.10000,31.49000,17.00000,0.52273
960.00000,32.20000,18.00000,0.59848
952.60000,40.24000,21.00000,0.67424
941.50000,49.65000,21.00000,0.75000
928.00000,64.00000,24.00000,0.82576
912.40000,93.04000,29.00000,0.90152
894.90000,114.89000,34.00000,0.97163
878.00000,87.80000,28.00000,1.01917
860.90000,117.49000,33.00000,1.04885
844.70000,75.41000,28.00000,1.07759
826.50000,178.45000,42.00000,1.10632
799.60000,382.84000,66.00000,1.13506
774.30000,204.21000,44.00000,1.16379
761.00000,33.60000,24.00000,1.19253
751.80000,52.36000,24.00000,1.22126
739.20000,74.36000,26.00000,1.25000
727.40000,63.84000,29.00000,1.27874
717.90000,58.89000,25.00000,1.30747
700.90000,202.09000,47.00000,1.33621
676.90000,259.69000,51.00000,1.36494
656.90000,157.09000,45.00000,1.39368
646.40000,37.84000,20.00000,1.42241
635.00000,140.60000,40.00000,1.45115
618.00000,164.20000,40.00000,1.47989
600.50000,181.65000,42.00000,1.50862
581.60000,106.04000,30.00000,1.53736
566.70000,41.41000,20.00000,1.56609
551.60000,128.84000,36.00000,1.59483
535.20000,106.36000,33.00000,1.62356
515.30000,240.01000,48.00000,1.65230
491.00000,203.00000,46.00000,1.68103
475.90000,83.09000,29.00000,1.70977
465.30000,119.81000,40.00000,1.73851
451.60000,83.44000,31.00000,1.76724
441.10000,32.89000,19.00000,1.79598
431.50000,51.65000,21.00000,1.82471
414.50000,214.05000,46.00000,1.85345
396.80000,128.56000,34.00000,1.88218
382.10000,95.09000,29.00000,1.91092
368.00000,80.20000,26.00000,1.93966
349.90000,232.29000,51.00000,1.96839
332.60000,113.44000,33.00000,1.99653
317.40000,152.64000,41.00000,2.02320
299.10000,106.49000,27.00000,2.04897
279.70000,134.61000,33.00000,2.07474
263.70000,115.21000,33.00000,2.10052
258.00000,127.80000,40.00000,2.12629
252.50000,67.05000,24.00000,2.15206
245.00000,16.80000,15.00000,2.17784
237.70000,27.41000,15.00000,2.20361
229.50000,22.05000,16.00000,2.22938
224.30000,11.21000,9.00000,2.25515
220.40000,14.04000,16.00000,2.28093
212.50000,58.05000,21.00000,2.30670
202.60000,46.64000,24.00000,2.33247
195.40000,12.24000,9.00000,2.35825
188.80000,21.76000,13.00000,2.38402
181.70000,35.21000,22.00000,2.40979
174.40000,58.84000,25.00000,2.43557
163.10000,89.69000,34.00000,2.46134
150.20000,52.16000,21.00000,2.48711
136.60000,78.64000,28.00000,2.51289
124.00000,26.60000,13.00000,2.53866
115.70000,18.61000,15.00000,2.56443
112.30000,8.61000,11.00000,2.59021
109.00000,28.00000,19.00000,2.61598
102.90000,27.69000,19.00000,2.64175
99.30000,20.61000,14.00000,2.66753
99.10000,13.89000,12.00000,2.69330
100.00000,15.20000,14.00000,2.71907
95.80000,56.96000,25.00000,2.74485
91.80000,48.96000,20.00000,2.77062
94.50000,33.05000,20.00000,2.79639
94.50000,26.25000,21.00000,2.82216
90.10000,19.69000,15.00000,2.84794
85.80000,10.56000,11.00000,2.87371
82.90000,3.69000,5.00000,2.89948
81.00000,9.60000,11.00000,2.92526
76.10000,29.89000,18.00000,2.95103
71.00000,21.80000,15.00000,2.97680
69.60000,10.04000,12.00000,3.00266
70.40000,25.44000,19.00000,3.02865
72.90000,52.49000,21.00000,3.05469
75.00000,38.40000,21.00000,3.08073
70.30000,44.61000,22.00000,3.10677
64.40000,11.64000,12.00000,3.13281
63.60000,13.64000,14.00000,3.15885
62.60000,21.84000,14.00000,3.18490
63.00000,14.60000,12.00000,3.21094
65.60000,8.04000,10.00000,3.23698
64.50000,20.65000,16.00000,3.26302
58.70000,37.81000,20.00000,3.28906
54.50000,20.85000,14.00000,3.31510
52.80000,13.96000,12.00000,3.34115
50.90000,5.49000,8.00000,3.36719
53.00000,15.00000,11.00000,3.39323
57.20000,12.16000,11.00000,3.41927
57.00000,12.00000,13.00000,3.44531
51.10000,25.29000,14.00000,3.47135
48.10000,9.69000,12.00000,3.49740
50.00000,16.40000,11.00000,3.52344
50.70000,12.21000,11.00000,3.54948
49.70000,12.21000,13.00000,3.57552
48.20000,11.56000,12.00000,3.60156
45.60000,11.64000,11.00000,3.62760
45.30000,9.01000,11.00000,3.65365
51.90000,32.09000,16.00000,3.67969
56.10000,17.69000,13.00000,3.70573
47.80000,80.36000,27.00000,3.73177
37.90000,26.89000,17.00000,3.75781
36.30000,18.41000,13.00000,3.78385
38.40000,13.44000,14.00000,3.80990
41.00000,15.80000,13.00000,3.83594
37.60000,44.44000,20.00000,3.86198
34.20000,24.16000,15.00000,3.88802
40.30000,34.01000,14.00000,3.91406
45.90000,16.49000,16.00000,3.94010
41.00000,56.60000,29.00000,3.96615
396.60000,62.44000,27.00000,0.03659
381.70000,110.01000,34.00000,0.07724
363.50000,103.05000,28.00000,0.11789
340.50000,239.85000,45.00000,0.15854
316.10000,150.89000,37.00000,0.19919
302.00000,28.60000,18.00000,0.23984
290.80000,73.36000,23.00000,0.28049
278.30000,37.81000,20.00000,0.32114
264.90000,96.09000,29.00000,0.36179
248.20000,87.16000,29.00000,0.40244
232.80000,64.36000,25.00000,0.44309
220.40000,40.44000,20.00000,0.48374
209.70000,42.01000,21.00000,0.52439
197.90000,55.29000,24.00000,0.56504
184.90000,60.09000,23.00000,0.60569
172.90000,34.69000,19.00000,0.64634
163.40000,23.04000,14.00000,0.68699
154.80000,24.76000,15.00000,0.72764
146.40000,23.64000,16.00000,0.76829
138.80000,25.56000,17.00000,0.80894
131.60000,24.04000,18.00000,0.84959
124.60000,16.84000,12.00000,0.89024
119.00000,7.80000,9.00000,0.93089
114.50000,10.45000,9.00000,0.97144
109.80000,11.36000,12.00000,1.01002
105.30000,7.81000,8.00000,1.04610
102.20000,9.76000,13.00000,1.08156
92.70000,84.61000,25.00000,1.11702
84.60000,6.04000,10.00000,1.15248
84.20000,2.76000,6.00000,1.18794
83.40000,2.24000,5.00000,1.22340
82.20000,2.36000,5.00000,1.25887
80.00000,2.20000,5.00000,1.29433
78.60000,5.24000,7.00000,1.32979
77.00000,6.00000,7.00000,1.36525
74.20000,6.36000,9.00000,1.40071
71.80000,5.56000,8.00000,1.43617
70.00000,3.80000,8.00000,1.47163
68.10000,4.09000,6.00000,1.50709
66.60000,3.04000,6.00000,1.54255
64.40000,7.64000,10.00000,1.57801
61.30000,12.81000,11.00000,1.61348
60.60000,7.64000,9.00000,1.64894
60.30000,2.61000,6.00000,1.68440
58.40000,9.84000,11.00000,1.71986
57.60000,9.44000,11.00000,1.75532
56.10000,4.69000,7.00000,1.79078
54.00000,2.40000,5.00000,1.82624
51.50000,6.65000,9.00000,1.86170
50.00000,4.40000,7.00000,1.89716
49.60000,5.44000,8.00000,1.93262
48.30000,7.01000,7.00000,1.96809
47.80000,6.56000,7.00000,1.99973
48.40000,9.04000,9.00000,2.02500
48.60000,7.04000,9.00000,2.04773
48.10000,1.09000,4.00000,2.07045
47.80000,1.16000,4.00000,2.09318
48.20000,4.76000,7.00000,2.11591
48.90000,6.69000,8.00000,2.13864
49.30000,6.01000,8.00000,2.16136
50.40000,4.24000,6.00000,2.18409
50.80000,4.96000,8.00000,2.20682
50.10000,5.69000,8.00000,2.22955
48.80000,5.96000,8.00000,2.25227
47.30000,3.81000,7.00000,2.27500
46.30000,1.41000,4.00000,2.29773
45.90000,2.09000,4.00000,2.32045
45.30000,3.21000,5.00000,2.34318
44.60000,1.84000,4.00000,2.36591
45.10000,1.69000,5.00000,2.38864
45.40000,4.24000,7.00000,2.41136
45.40000,5.04000,7.00000,2.43409
45.30000,3.21000,5.00000,2.45682
45.00000,4.80000,7.00000,2.47955
44.80000,4.96000,7.00000,2.50227
44.20000,7.16000,9.00000,2.52500
44.80000,10.16000,10.00000,2.54773
46.40000,6.84000,8.00000,2.57045
47.40000,6.04000,7.00000,2.59318
47.80000,5.76000,8.00000,2.61591
47.50000,6.65000,9.00000,2.63864
47.20000,5.16000,7.00000,2.66136
46.80000,2.16000,4.00000,2.68409
46.30000,1.41000,3.00000,2.70682
45.60000,2.44000,6.00000,2.72955
